Año;Periodo;Precio del gasóleo
2014;Semana 39;1,32
2014;Semana 40;1,31
2014;Semana 41;1,31
2014;Semana 42;1,3
2014;Semana 43;1,27
2014;Semana 44;1,26
2014;Semana 45;1,26
2014;Semana 46;1,27
2014;Semana 47;1,26
2014;Semana 48;1,24
2014;Semana 49;1,23
2014;Semana 50;1,2
2014;Semana 51;1,16
2015;Semana 2;1,1
2015;Semana 3;1,08
2015;Semana 4;1,06
2015;Semana 5;1,06
2015;Semana 6;1,07
2015;Semana 7;1,11
2015;Semana 8;1,14
2015;Semana 9;1,16
2015;Semana 10;1,17
2015;Semana 11;1,18
2015;Semana 12;1,18
2015;Semana 13;1,16
2015;Semana 14;1,16
2015;Semana 16;1,15
2015;Semana 17;1,18
2015;Semana 18;1,2
2015;Semana 19;1,2
2015;Semana 20;1,2
2015;Semana 21;1,2
2015;Semana 22;1,2
2015;Semana 23;1,2
2015;Semana 24;1,19
2015;Semana 25;1,19
2015;Semana 26;1,18
2015;Semana 27;1,18
2015;Semana 28;1,18
2015;Semana 29;1,16
2015;Semana 30;1,15
2015;Semana 31;1,14
2015;Semana 32;1,12
2015;Semana 33;1,11
2015;Semana 34;1,1
2015;Semana 35;1,09
2015;Semana 36;1,05
2015;Semana 37;1,08
2015;Semana 38;1,09
2015;Semana 39;1,07
2015;Semana 40;1,07
2015;Semana 41;1,07
2015;Semana 42;1,08
2015;Semana 43;1,06
2015;Semana 44;1,05
2015;Semana 45;1,05
2015;Semana 46;1,07
2015;Semana 47;1,07
2015;Semana 48;1,05
2015;Semana 49;1,05
2015;Semana 50;1,04
2015;Semana 51;1,01
2016;Semana 2;0,96
2016;Semana 3;0,96
2016;Semana 4;0,93
2016;Semana 5;0,91
2016;Semana 6;0,92
2016;Semana 7;0,93
2016;Semana 8;0,92
2016;Semana 9;0,93
2016;Semana 10;0,93
2016;Semana 11;0,95
2016;Semana 12;0,97
2016;Semana 13;0,98
2016;Semana 14;0,98
2016;Semana 15;0,98
2016;Semana 16;0,95
2016;Semana 17;0,97
2016;Semana 18;0,99
2016;Semana 19;1
2016;Semana 20;1,01
2016;Semana 21;1,01
2016;Semana 22;1,03
2016;Semana 23;1,05
2016;Semana 24;1,06
2016;Semana 25;1,06
2016;Semana 26;1,05
2016;Semana 27;1,05
2016;Semana 28;1,05
2016;Semana 29;1,04
2016;Semana 30;1,03
2016;Semana 31;1,03
2016;Semana 32;1,01
2016;Semana 33;1
2016;Semana 34;1
2016;Semana 35;1,02
2016;Semana 36;1,04
2016;Semana 37;1,03
2016;Semana 38;1,03
2016;Semana 39;1,03
2016;Semana 40;1,03
2016;Semana 41;1,03
2016;Semana 42;1,05
2016;Semana 43;1,07
2016;Semana 44;1,07
2016;Semana 45;1,08
2016;Semana 46;1,06
2016;Semana 47;1,04
2016;Semana 48;1,04
2016;Semana 49;1,06
2016;Semana 50;1,07
2016;Semana 51;1,09
2016;Semana 52;1,11
2017;Semana 2;1,13
2017;Semana 3;1,14
2017;Semana 4;1,13
2017;Semana 5;1,12
2017;Semana 6;1,12
2017;Semana 7;1,12
2017;Semana 8;1,13
2017;Semana 9;1,13
2017;Semana 10;1,13
2017;Semana 11;1,13
2017;Semana 12;1,13
2017;Semana 13;1,11
2017;Semana 14;1,1
2017;Semana 15;1,09
2017;Semana 16;1,11
2017;Semana 17;1,13
2017;Semana 18;1,13
2017;Semana 19;1,11
2017;Semana 20;1,09
2017;Semana 21;1,08
2017;Semana 22;1,08
2017;Semana 23;1,09
2017;Semana 24;1,08
2017;Semana 25;1,06
2017;Semana 26;1,05
2017;Semana 27;1,04
2017;Semana 28;1,04
