Marca;MARCA;MODELO;Ventas total;Precio;range km;tiempo;kWh;eficiencia Wh/km;cargarapida km/h;velocidadmax km/h;Segment_num;marketsegment;personas;towingcapacity;motor;url
30;CITROEN;E-SPACETOURER XL 50 KWH;2563;55560;175;12.1;45.0;257;280;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1342/30-e-SpaceTourer-XL-50-kWh
30;CITROEN;E-JUMPY COMBI XL 50 KWH;2563;46730;175;12.1;45.0;257;280;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1596/30-e-Jumpy-Combi-XL-50-kWh
30;CITROEN;E-JUMPY COMBI XS 50 KWH;2563;41780;180;12.1;45.0;250;290;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1594/30-e-Jumpy-Combi-XS-50-kWh
30;CITROEN;E-SPACETOURER XS 50 KWH;2563;50880;180;12.1;45.0;250;290;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1340/30-e-SpaceTourer-XS-50-kWh
22;OPEL;ZAFIRA-E LIFE S 50 KWH;2141;56700;180;12.1;45.0;250;290;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1345/22-Zafira-e-Life-S-50-kWh
15;PEUGEOT;E-EXPERT COMBI STANDARD 50 KWH;5323;43815;180;13.1;45.0;250;290;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1605/15-e-Expert-Combi-Standard-50-kWh
22;OPEL;VIVARO-E COMBI M 50 KWH;2141;44455;180;12.1;45.0;250;290;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1600/22-Vivaro-e-Combi-M-50-kWh
22;OPEL;VIVARO-E COMBI L 75 KWH;2141;54498;250;13.3;65.0;260;290;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1603/22-Vivaro-e-Combi-L-75-kWh
15;PEUGEOT;E-EXPERT COMBI LONG 50 KWH;5323;45751;175;13.1;45.0;257;280;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1606/15-e-Expert-Combi-Long-50-kWh
22;OPEL;ZAFIRA-E LIFE M 50 KWH;2141;53711;180;12.1;45.0;250;290;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1346/22-Zafira-e-Life-M-50-kWh
15;PEUGEOT;E-TRAVELLER COMPACT 50 KWH;5323;50880;180;12.1;45.0;250;290;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1350/15-e-Traveller-Compact-50-kWh
38;MG;ZS EV LONG RANGE;349;36985;365;8.4;68.3;187;410;175;2;B;5;500;Battery Electric Vehicle ;https://ev-database.org/car/1541/38-ZS-EV-Long-Range
38;MG;MARVEL R PERFORMANCE;349;51485;330;4.9;65.0;197;390;200;3;C;5;750;Battery Electric Vehicle ;https://ev-database.org/car/1475/38-Marvel-R-Performance
38;MG;ZS EV STANDARD RANGE;349;32985;270;8.6;49.0;181;260;175;2;B;5;500;Battery Electric Vehicle ;https://ev-database.org/car/1540/38-ZS-EV-Standard-Range
38;MG;385 ELECTRIC LONG RANGE;349;36985;325;8.3;57.0;175;320;185;3;C;5;500;Battery Electric Vehicle ;https://ev-database.org/car/1474/38-385-Electric-Long-Range
38;MG;385 EV LONG RANGE;349;39818;340;7.7;57.0;168;340;185;3;C;4;1134;Battery Electric Vehicle ;https://ev-database.org/car/1526/38-385-EV-Long-Range
38;MG;MARVEL R;349;46485;335;7.9;65.0;194;400;200;3;C;5;750;Battery Electric Vehicle ;https://ev-database.org/car/1524/38-Marvel-R
38;MG;385 ELECTRIC STANDARD RANGE;349;33985;260;8.5;46.0;177;320;185;3;C;5;500;Battery Electric Vehicle ;https://ev-database.org/car/1646/38-385-Electric-Standard-Range
