Marca;Marca_url;Modelo;Modelo_url;Ventas;Year
HYUNDAI;https://eu-evs.com/brandCharts/HYUNDAI/ES;KONA;https://eu-evs.com/modelCharts/HYUNDAI/KONA/ES;1004;2019
VOLKSWAGEN;https://eu-evs.com/brandCharts/VOLKSWAGEN/ES;GOLF;https://eu-evs.com/modelCharts/VOLKSWAGEN/GOLF/ES;942;2019
BMW;https://eu-evs.com/brandCharts/BMW/ES;I3;https://eu-evs.com/modelCharts/BMW/I3/ES;909;2019
SMART;https://eu-evs.com/brandCharts/SMART/ES;FORFOUR;https://eu-evs.com/modelCharts/SMART/FORFOUR/ES;766;2019
SMART;https://eu-evs.com/brandCharts/SMART/ES;FORTWO;https://eu-evs.com/modelCharts/SMART/FORTWO/ES;683;2019
KIA;https://eu-evs.com/brandCharts/KIA/ES;NIRO;https://eu-evs.com/modelCharts/KIA/NIRO/ES;348;2019
NISSAN;https://eu-evs.com/brandCharts/NISSAN/ES;E-NV200;https://eu-evs.com/modelCharts/NISSAN/E-NV200/ES;277;2019
TESLA;https://eu-evs.com/brandCharts/TESLA/ES;MODEL X;https://eu-evs.com/modelCharts/TESLA/MODEL%20X/ES;188;2019
HYUNDAI;https://eu-evs.com/brandCharts/HYUNDAI/ES;IONIQ;https://eu-evs.com/modelCharts/HYUNDAI/IONIQ/ES;176;2019
TESLA;https://eu-evs.com/brandCharts/TESLA/ES;MODEL S;https://eu-evs.com/modelCharts/TESLA/MODEL%20S/ES;175;2019
JAGUAR;https://eu-evs.com/brandCharts/JAGUAR/ES;I-PACE;https://eu-evs.com/modelCharts/JAGUAR/I-PACE/ES;166;2019
AUDI;https://eu-evs.com/brandCharts/AUDI/ES;E-TRON;https://eu-evs.com/modelCharts/AUDI/E-TRON/ES;165;2019
KIA;https://eu-evs.com/brandCharts/KIA/ES;SOUL;https://eu-evs.com/modelCharts/KIA/SOUL/ES;57;2019
CITROEN;https://eu-evs.com/brandCharts/CITROEN/ES;C-ZERO;https://eu-evs.com/modelCharts/CITROEN/C-ZERO/ES;51;2019
MERCEDES;https://eu-evs.com/brandCharts/MERCEDES/ES;EQC;https://eu-evs.com/modelCharts/MERCEDES/EQC/ES;47;2019
CITROEN;https://eu-evs.com/brandCharts/CITROEN/ES;E-BERLINGO;https://eu-evs.com/modelCharts/CITROEN/E-BERLINGO/ES;43;2019
SEAT;https://eu-evs.com/brandCharts/SEAT/ES;MII;https://eu-evs.com/modelCharts/SEAT/MII/ES;30;2019
VOLKSWAGEN;https://eu-evs.com/brandCharts/VOLKSWAGEN/ES;UP!;https://eu-evs.com/modelCharts/VOLKSWAGEN/UP!/ES;27;2019
PEUGEOT;https://eu-evs.com/brandCharts/PEUGEOT/ES;E-PARTNER;https://eu-evs.com/modelCharts/PEUGEOT/E-PARTNER/ES;25;2019
PEUGEOT;https://eu-evs.com/brandCharts/PEUGEOT/ES;ION;https://eu-evs.com/modelCharts/PEUGEOT/ION/ES;24;2019
DS;https://eu-evs.com/brandCharts/DS/ES;3 CROSSBACK;https://eu-evs.com/modelCharts/DS/3%20CROSSBACK/ES;23;2019
CITROEN;https://eu-evs.com/brandCharts/CITROEN/ES;E-MEHARI;https://eu-evs.com/modelCharts/CITROEN/E-MEHARI/ES;11;2019
